210
551:FFE|203
661:FFE|203
332:FFE|203
432:FFE|203
442:FFE|203
552:FFE|203
662:FFE|203
433:FFE|203
443:FFE|203
311:FFF|204
532:FFF|204
642:FFF|204
555:FFF|204
666:FFF|204
211:GAA|205
221:GAA|205
431:GAF|206
542:GAF|206
542:GBA|207
331:GFA|208
332:GFA|208
331:GFB|209
321:GFF|210
331:GFF|210
431:GFF|210
441:GFF|210
541:GFF|210
551:GFF|210
661:GFF|210
322:GFF|210
332:GFF|210
442:GFF|210
552:GFF|210
652:GFF|210
333:GFF|210
533:GFF|210
443:GFF|210
543:GFF|210
643:GFF|210
653:GFF|210
644:GFF|210
654:GFF|210
